"filename", "language", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "TypeScript JSX", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"/home/onetyten/Documents/Github/m_foodie_chatbot/app.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 83
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 14, 74
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/global.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/package-lock.json", "JSON", 0, 0, 6161, 0, 0, 0, 0, 0, 0, 0, 1, 6162
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/BotChatBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/BotErrorMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 9, 76
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/BotMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 11, 78
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/CartFeedBack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 2, 7, 74
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/ChatBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 271, 0, 0, 0, 2, 36, 309
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/ChatMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 12, 76
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/CheckoutItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 8, 51
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/CheckoutList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 0, 1, 11, 159
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/Comfirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/ErrorBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/FoodCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/FoodCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 1, 10, 82
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/NumberInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 7, 81
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OptionCheckbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 7, 44
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OptionQuantity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 9, 62
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OptionSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 11, 61
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OptionsInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OrderFeedback.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 7, 73
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OrderHandler.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 14, 94
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/OrderReceipt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 15, 112
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/ReceiptDownloaded.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 10, 35
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/SubCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 6, 8, 78
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/UserCheck.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/UserInfoInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 14, 103
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/components/customisationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 1, 9, 130
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 84, 2, 17, 103
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 2, 11
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/OrderCartList.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/cartDeleteSlice.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/currentCartItem.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/currentFoodSlice.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/newOrderSlice.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/pendingOrderSlice.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/showModalSlice.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/store/userSlice.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 3, 29
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/types/type.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 120
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/utils/api.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/utils/data.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/utils/store.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/utils/validation.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 63
"/home/onetyten/Documents/Github/m_foodie_chatbot/client/vite.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/home/onetyten/Documents/Github/m_foodie_chatbot/config/mongoConnect.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/addToCart.controller.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/createUser.controller.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/deleteCart.controller.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/fetchOrders.controller.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/foodList.controller.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/getCartList.controller.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/getCustomisations.controller.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/getSubCategory.controller.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/order.controller.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 92
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/seed.controller.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 100
"/home/onetyten/Documents/Github/m_foodie_chatbot/controller/webhooks/verify.controller.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/onetyten/Documents/Github/m_foodie_chatbot/json/category.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/onetyten/Documents/Github/m_foodie_chatbot/json/customisation.json", "JSON", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 8, 448
"/home/onetyten/Documents/Github/m_foodie_chatbot/json/food.json", "JSON", 0, 0, 1176, 0, 0, 0, 0, 0, 0, 0, 3, 1179
"/home/onetyten/Documents/Github/m_foodie_chatbot/json/subCategory.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/home/onetyten/Documents/Github/m_foodie_chatbot/middleware/authorization.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/home/onetyten/Documents/Github/m_foodie_chatbot/package-lock.json", "JSON", 0, 0, 2899, 0, 0, 0, 0, 0, 0, 0, 1, 2900
"/home/onetyten/Documents/Github/m_foodie_chatbot/package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/createUser.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/food/getCustomisation.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/food/list.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/food/subcategory.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/addCart.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/createorder.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/deleteCart.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/fetchCart.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/fetchOrder.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/order/webhook/verify.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/onetyten/Documents/Github/m_foodie_chatbot/router/seed/seed.route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/cartShema.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/categorySchema.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/customisationSchema.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/foodSchema.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/orderItemShema.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/orderSchema.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/subCategory.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/onetyten/Documents/Github/m_foodie_chatbot/schema/userShema.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/home/onetyten/Documents/Github/m_foodie_chatbot/tsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 0, 95, 11, 119
"/home/onetyten/Documents/Github/m_foodie_chatbot/types/jsonTypes.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 67
"/home/onetyten/Documents/Github/m_foodie_chatbot/validation/orderValidation.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"Total", "-", 1241, 27, 10903, 13, 60, 1787, 22, 2, 84, 139, 522, 14800